Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	97663023	24225798326,94	2024-09-02
YNDX	0	0,00	2024-09-02
GAZP	82919045	10203772456,18	2024-09-02
SBER	105673843	25885999088,25	2024-09-03
YNDX	0	0,00	2024-09-03
GAZP	84484993	10349024482,40	2024-09-03
SBER	70652642	17536642620,58	2024-09-04
YNDX	0	0,00	2024-09-04
GAZP	45807252	5551135638,63	2024-09-04
SBER	78617370	20008294879,82	2024-09-05
YNDX	0	0,00	2024-09-05
GAZP	50102717	6195583196,23	2024-09-05
SBER	41336743	10455279904,06	2024-09-06
YNDX	0	0,00	2024-09-06
GAZP	24886076	3070100228,58	2024-09-06
SBER	66129407	17203376139,21	2024-09-09
YNDX	0	0,00	2024-09-09
GAZP	31700200	3944765281,68	2024-09-09
SBER	57938331	15137475968,82	2024-09-10
YNDX	0	0,00	2024-09-10
GAZP	28019573	3478190252,80	2024-09-10
SBER	38294360	9961844618,49	2024-09-11
YNDX	0	0,00	2024-09-11
GAZP	22183401	2718758242,40	2024-09-11
SBER	46359905	11841946629,98	2024-09-12
YNDX	0	0,00	2024-09-12
GAZP	46788717	5574141353,37	2024-09-12
SBER	111182672	28260966965,26	2024-09-13
YNDX	0	0,00	2024-09-13
GAZP	55825399	6601307313,13	2024-09-13
SBER	52645674	13790198024,91	2024-09-16
YNDX	0	0,00	2024-09-16
GAZP	38854872	4709993207,43	2024-09-16
SBER	57567621	15203019844,52	2024-09-17
YNDX	0	0,00	2024-09-17
GAZP	36877546	4486211646,97	2024-09-17
SBER	43378199	11524271051,02	2024-09-18
YNDX	0	0,00	2024-09-18
GAZP	30649580	3757445416,33	2024-09-18
SBER	35684631	9441123736,17	2024-09-19
YNDX	0	0,00	2024-09-19
GAZP	43382152	5300177920,83	2024-09-19
SBER	137153309	36417757156,64	2024-09-20
YNDX	0	0,00	2024-09-20
GAZP	50623844	6208215206,27	2024-09-20
SBER	49399284	13433652440,89	2024-09-23
YNDX	0	0,00	2024-09-23
GAZP	138228043	17630535990,68	2024-09-23
SBER	36986003	10077417947,07	2024-09-24
YNDX	0	0,00	2024-09-24
GAZP	296528895	40107957723,51	2024-09-24
SBER	43805851	11863460585,95	2024-09-25
YNDX	0	0,00	2024-09-25
GAZP	150052015	20590552988,49	2024-09-25
SBER	31890091	8525388565,96	2024-09-26
YNDX	0	0,00	2024-09-26
GAZP	131197346	17933611477,93	2024-09-26
SBER	18891073	5073729839,61	2024-09-27
YNDX	0	0,00	2024-09-27
GAZP	86225211	12010387659,22	2024-09-27
SBER	42521705	11510986270,90	2024-09-30
YNDX	0	0,00	2024-09-30
GAZP	237071036	33372970960,07	2024-09-30
