Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	54942502	7406745596,34	2022-09-01
YNDX	301049	655382806,60	2022-09-01
GAZP	83676886	21015887610,94	2022-09-01
SBER	136891897	19355167710,94	2022-09-02
YNDX	424207	908266315,40	2022-09-02
GAZP	37791619	9487755140,55	2022-09-02
SBER	498920	71786001,29	2022-09-03
YNDX	8436	18150098,90	2022-09-03
GAZP	605160	152769634,13	2022-09-03
SBER	295520	42685756,58	2022-09-04
YNDX	8879	19215908,60	2022-09-04
GAZP	380730	96598732,49	2022-09-04
SBER	87603094	12371128892,96	2022-09-05
YNDX	211323	453701404,00	2022-09-05
GAZP	30359706	7604261908,79	2022-09-05
SBER	86674653	11990962765,88	2022-09-06
YNDX	856700	1792595935,80	2022-09-06
GAZP	51581107	12722341371,93	2022-09-06
SBER	60756762	8339660846,08	2022-09-07
YNDX	386744	801244887,20	2022-09-07
GAZP	31496701	7674787249,66	2022-09-07
SBER	57744972	7830056213,30	2022-09-08
YNDX	304247	628935780,00	2022-09-08
GAZP	39145622	9426027420,79	2022-09-08
SBER	49115811	6696942551,49	2022-09-09
YNDX	243668	504826532,80	2022-09-09
GAZP	27284689	6673132485,74	2022-09-09
SBER	284090	39090242,48	2022-09-10
YNDX	13059	27417007,50	2022-09-10
GAZP	334030	82340034,74	2022-09-10
SBER	281160	38598734,77	2022-09-11
YNDX	6906	14467612,30	2022-09-11
GAZP	209200	51501963,27	2022-09-11
SBER	52610730	7304880456,56	2022-09-12
YNDX	798459	1718055693,40	2022-09-12
GAZP	31292110	7643467493,36	2022-09-12
SBER	44584110	6136122450,77	2022-09-13
YNDX	787671	1716972754,20	2022-09-13
GAZP	21638437	5267092222,58	2022-09-13
SBER	62838975	8599301310,56	2022-09-14
YNDX	522539	1125926848,80	2022-09-14
GAZP	19835195	4787740144,17	2022-09-14
SBER	56244234	7820033312,81	2022-09-15
YNDX	421394	916907980,20	2022-09-15
GAZP	22166710	5391626406,57	2022-09-15
SBER	92565176	12880367500,19	2022-09-16
YNDX	875991	1934172471,60	2022-09-16
GAZP	46427168	11354341291,90	2022-09-16
SBER	27110	3739782,50	2022-09-17
YNDX	2920	6466812,50	2022-09-17
GAZP	53200	12987871,69	2022-09-17
SBER	106160	14609045,11	2022-09-18
YNDX	8496	18830048,10	2022-09-18
GAZP	173690	42565046,51	2022-09-18
SBER	33272539	4590392118,43	2022-09-19
YNDX	513652	1143894526,80	2022-09-19
GAZP	21339162	5213417445,34	2022-09-19
SBER	208948112	27121037322,39	2022-09-20
YNDX	3599016	7429197631,40	2022-09-20
GAZP	213252188	48455392454,46	2022-09-20
SBER	136625790	16327187809,70	2022-09-21
YNDX	2225489	4173171833,40	2022-09-21
GAZP	100156402	21120395355,64	2022-09-21
SBER	117480287	14562228533,10	2022-09-22
YNDX	978679	1891729406,40	2022-09-22
GAZP	126461257	28918758405,71	2022-09-22
SBER	85906355	10311683625,55	2022-09-23
YNDX	1516590	2756676812,20	2022-09-23
GAZP	62916539	14240867681,92	2022-09-23
SBER	148638271	16617799009,20	2022-09-26
YNDX	2238228	3633322523,60	2022-09-26
GAZP	103858813	22060003112,91	2022-09-26
SBER	90981376	10025222928,62	2022-09-27
YNDX	1712346	2802495915,20	2022-09-27
GAZP	81350638	17267621663,20	2022-09-27
SBER	77969866	8720789582,25	2022-09-28
YNDX	1812317	3158268031,60	2022-09-28
GAZP	83423405	18078000813,39	2022-09-28
SBER	67487952	7411232372,03	2022-09-29
YNDX	1822177	3300626576,20	2022-09-29
GAZP	70257420	15290557252,78	2022-09-29
SBER	133569265	14569444284,57	2022-09-30
YNDX	2257323	4234250589,60	2022-09-30
GAZP	245888837	54576980164,80	2022-09-30
