Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	1139113	353108348,26	2025-03-01
GAZP	2358446	402970226,09	2025-03-01
SBER	746528	227824278,06	2025-03-02
GAZP	9639417	1660420466,69	2025-03-02
SBER	66469928	20185182636,74	2025-03-03
GAZP	140562818	23469267818,73	2025-03-03
SBER	88133163	27673753744,70	2025-03-04
GAZP	99291929	17093541448,02	2025-03-04
SBER	57794059	18259288358,95	2025-03-05
GAZP	131051732	22812214665,07	2025-03-05
SBER	31964476	10074550887,95	2025-03-06
GAZP	86511282	14941598103,55	2025-03-06
SBER	110873396	35132034559,36	2025-03-07
GAZP	85019169	14594558335,80	2025-03-07
SBER	39317538	12523894820,48	2025-03-10
GAZP	35411240	6077781428,50	2025-03-10
SBER	64937043	20743942467,94	2025-03-11
GAZP	61144073	10429120793,03	2025-03-11
SBER	41965953	13355435361,58	2025-03-12
GAZP	46487883	7850169442,66	2025-03-12
SBER	78553812	24872732176,82	2025-03-13
GAZP	214676218	35632741307,93	2025-03-13
SBER	51764250	16480536092,31	2025-03-14
GAZP	110595737	18578365891,34	2025-03-14
SBER	1455929	467011361,79	2025-03-15
GAZP	2231884	380938342,66	2025-03-15
SBER	4225264	1365316298,36	2025-03-16
GAZP	6028444	1039705997,33	2025-03-16
SBER	58703386	19107191613,14	2025-03-17
GAZP	105486246	18308415350,45	2025-03-17
SBER	72949247	23859288474,30	2025-03-18
GAZP	141727139	24346599848,67	2025-03-18
SBER	39802325	12924716581,62	2025-03-19
GAZP	74133728	12440365460,71	2025-03-19
SBER	42358268	13734106680,97	2025-03-20
GAZP	83482146	13962340282,12	2025-03-20
SBER	70974243	23044075136,34	2025-03-21
GAZP	105915750	17760057334,09	2025-03-21
SBER	33043477	10626441207,58	2025-03-24
GAZP	44708957	7375188639,05	2025-03-24
SBER	48330314	15393641277,13	2025-03-25
GAZP	84617817	13809983574,21	2025-03-25
SBER	20582271	6539612753,75	2025-03-26
GAZP	58681157	9633419099,72	2025-03-26
SBER	36148616	11359201141,22	2025-03-27
GAZP	90865195	14358166260,95	2025-03-27
SBER	51879717	16032190221,78	2025-03-28
GAZP	169582573	25401020660,43	2025-03-28
SBER	5740751	1748020837,68	2025-03-29
GAZP	8753179	1261994823,60	2025-03-29
SBER	3419205	1011930761,96	2025-03-30
GAZP	0	0,00	2025-03-30
SBER	48568471	14914812875,94	2025-03-31
GAZP	104406105	15100984161,73	2025-03-31
