Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	31710581	10396410372,73	2024-07-01
YNDX	0	0,00	2024-07-01
GAZP	59999137	7143615426,41	2024-07-01
SBER	21155720	6941105161,64	2024-07-02
YNDX	0	0,00	2024-07-02
GAZP	130100044	16202498874,18	2024-07-02
SBER	32156758	10584705952,42	2024-07-03
YNDX	0	0,00	2024-07-03
GAZP	165369382	20988849135,39	2024-07-03
SBER	40766141	13317142644,87	2024-07-04
YNDX	0	0,00	2024-07-04
GAZP	80922781	10042050880,67	2024-07-04
SBER	40433081	13096740785,76	2024-07-05
YNDX	0	0,00	2024-07-05
GAZP	124619108	15535657039,03	2024-07-05
SBER	27756955	9025388641,46	2024-07-08
YNDX	0	0,00	2024-07-08
GAZP	89852941	11427162452,50	2024-07-08
SBER	54199866	17436629002,04	2024-07-09
YNDX	0	0,00	2024-07-09
GAZP	90409960	11423742548,00	2024-07-09
SBER	88512639	28065558384,56	2024-07-10
YNDX	0	0,00	2024-07-10
GAZP	99730459	12127621494,41	2024-07-10
SBER	168030731	48738353513,03	2024-07-11
YNDX	0	0,00	2024-07-11
GAZP	72196916	8725123950,31	2024-07-11
SBER	49999218	14669468396,08	2024-07-12
YNDX	0	0,00	2024-07-12
GAZP	48210151	5784886546,27	2024-07-12
SBER	58737661	16923776065,32	2024-07-15
YNDX	0	0,00	2024-07-15
GAZP	40528087	4849086784,63	2024-07-15
SBER	82870928	23286404231,27	2024-07-16
YNDX	0	0,00	2024-07-16
GAZP	93665500	11444490170,74	2024-07-16
SBER	42824745	12284525110,77	2024-07-17
YNDX	0	0,00	2024-07-17
GAZP	67304746	8431953071,22	2024-07-17
SBER	34090382	9784308193,31	2024-07-18
YNDX	0	0,00	2024-07-18
GAZP	89804949	11425582939,46	2024-07-18
SBER	31022093	9026261412,61	2024-07-19
YNDX	0	0,00	2024-07-19
GAZP	92987495	12146742080,81	2024-07-19
SBER	33386685	9779024349,01	2024-07-22
YNDX	0	0,00	2024-07-22
GAZP	53280303	7010723086,98	2024-07-22
SBER	22190873	6529126565,20	2024-07-23
YNDX	0	0,00	2024-07-23
GAZP	69161480	9144426508,86	2024-07-23
SBER	24565795	7263028476,49	2024-07-24
YNDX	0	0,00	2024-07-24
GAZP	64078543	8724398173,82	2024-07-24
SBER	22868771	6768225679,79	2024-07-25
YNDX	0	0,00	2024-07-25
GAZP	41046835	5577966322,43	2024-07-25
SBER	84909900	25147158123,26	2024-07-26
YNDX	0	0,00	2024-07-26
GAZP	82134265	11050845169,77	2024-07-26
SBER	52445929	15134281512,76	2024-07-29
YNDX	0	0,00	2024-07-29
GAZP	64635143	8523691236,08	2024-07-29
SBER	42572524	12290582691,16	2024-07-30
YNDX	0	0,00	2024-07-30
GAZP	53203839	7056745150,18	2024-07-30
SBER	25974561	7524955685,67	2024-07-31
YNDX	0	0,00	2024-07-31
GAZP	48397147	6450686788,20	2024-07-31
