Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	27129418	7970732492,09	2024-03-01
YNDX	2839678	9892404173,40	2024-03-01
GAZP	18294784	2964207485,21	2024-03-01
SBER	40610007	12107614414,93	2024-03-04
YNDX	4325306	15837201802,40	2024-03-04
GAZP	16580403	2675626861,93	2024-03-04
SBER	41756481	12488964835,81	2024-03-05
YNDX	2496099	9113856687,80	2024-03-05
GAZP	14143854	2279189895,66	2024-03-05
SBER	17756255	5293891758,21	2024-03-06
YNDX	1381768	4958899900,20	2024-03-06
GAZP	13620445	2197109810,61	2024-03-06
SBER	21982856	6570179540,12	2024-03-07
YNDX	1312072	4722606222,80	2024-03-07
GAZP	14213575	2291978097,83	2024-03-07
SBER	41782079	12573520028,77	2024-03-11
YNDX	2830108	10084154176,80	2024-03-11
GAZP	15911135	2557507005,56	2024-03-11
SBER	28744046	8607373705,56	2024-03-12
YNDX	948625	3328143122,20	2024-03-12
GAZP	26531993	4299904157,13	2024-03-12
SBER	24012197	7202114542,12	2024-03-13
YNDX	1750681	6255651493,40	2024-03-13
GAZP	19204669	3112078691,96	2024-03-13
SBER	42205981	12524071327,09	2024-03-14
YNDX	1553547	5568435007,60	2024-03-14
GAZP	14016118	2258506713,70	2024-03-14
SBER	26040351	7760570657,18	2024-03-15
YNDX	1781459	6462576409,20	2024-03-15
GAZP	14156002	2274451412,95	2024-03-15
SBER	20281981	6067095381,39	2024-03-18
YNDX	1639551	6019075000,00	2024-03-18
GAZP	14279646	2296442348,79	2024-03-18
SBER	59715052	17713354812,07	2024-03-19
YNDX	4108671	15630454344,00	2024-03-19
GAZP	38302521	6109623528,53	2024-03-19
SBER	30703319	9072663605,97	2024-03-20
YNDX	3671350	14363020248,60	2024-03-20
GAZP	21082267	3337837075,67	2024-03-20
SBER	70680891	20814004143,27	2024-03-21
YNDX	3389849	13237129285,20	2024-03-21
GAZP	18125753	2872316273,33	2024-03-21
SBER	82657387	24368138389,34	2024-03-22
YNDX	2703844	10440465504,40	2024-03-22
GAZP	45005972	7099900651,40	2024-03-22
SBER	25567922	7506799931,09	2024-03-25
YNDX	1938567	7669306308,60	2024-03-25
GAZP	26977718	4237315876,86	2024-03-25
SBER	16295658	4794357263,67	2024-03-26
YNDX	1526579	6139090692,40	2024-03-26
GAZP	28042610	4424212229,41	2024-03-26
SBER	14560210	4286311562,58	2024-03-27
YNDX	729553	2921260924,40	2024-03-27
GAZP	11874987	1872269634,63	2024-03-27
SBER	33675238	10034970400,69	2024-03-28
YNDX	646208	2592666021,00	2024-03-28
GAZP	10233292	1610112219,59	2024-03-28
SBER	17706050	5288531129,52	2024-03-29
YNDX	648804	2590484880,00	2024-03-29
GAZP	16069416	2525889067,73	2024-03-29
