Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	35574556	9234154133,31	2023-10-02
YNDX	763357	1836058594,60	2023-10-02
GAZP	24391918	4077396999,46	2023-10-02
SBER	23911503	6193868064,23	2023-10-03
YNDX	658794	1574248753,60	2023-10-03
GAZP	17376803	2882625742,15	2023-10-03
SBER	18571666	4816219115,50	2023-10-04
YNDX	718754	1717979028,60	2023-10-04
GAZP	20157474	3347162028,36	2023-10-04
SBER	23501647	6111711662,58	2023-10-05
YNDX	2258401	5469327686,40	2023-10-05
GAZP	15310406	2532199108,73	2023-10-05
SBER	32001325	8338558231,85	2023-10-06
YNDX	1531949	3816314103,00	2023-10-06
GAZP	18321749	3039387155,43	2023-10-06
SBER	45447803	12036780779,79	2023-10-09
YNDX	511216	1267391422,80	2023-10-09
GAZP	21747711	3637697002,14	2023-10-09
SBER	34001355	8962464476,45	2023-10-10
YNDX	831588	2068561696,40	2023-10-10
GAZP	18583618	3115970712,01	2023-10-10
SBER	29495882	7743024813,86	2023-10-11
YNDX	646509	1598293091,00	2023-10-11
GAZP	59982368	10147230570,26	2023-10-11
SBER	27549243	7233288920,19	2023-10-12
YNDX	522579	1282308500,00	2023-10-12
GAZP	31850412	5381013342,88	2023-10-12
SBER	18408709	4851848048,11	2023-10-13
YNDX	1235967	3095621415,80	2023-10-13
GAZP	38618293	6540523513,98	2023-10-13
SBER	53723207	14344208602,71	2023-10-16
YNDX	676536	1714654649,20	2023-10-16
GAZP	41588067	7158748729,16	2023-10-16
SBER	51214403	13825862052,88	2023-10-17
YNDX	536965	1358663128,60	2023-10-17
GAZP	26755646	4603963668,97	2023-10-17
SBER	40380652	10845347369,96	2023-10-18
YNDX	542562	1370957296,40	2023-10-18
GAZP	31942908	5460259791,35	2023-10-18
SBER	33533053	9007728708,45	2023-10-19
YNDX	3277444	8599584035,00	2023-10-19
GAZP	31739298	5389252623,00	2023-10-19
SBER	32879828	8836476681,08	2023-10-20
YNDX	1964016	5229693292,40	2023-10-20
GAZP	25370442	4329023168,21	2023-10-20
SBER	62432250	16984315996,42	2023-10-23
YNDX	979394	2632227510,60	2023-10-23
GAZP	19946368	3409740854,89	2023-10-23
SBER	28029966	7588352828,14	2023-10-24
YNDX	1225245	3296284766,40	2023-10-24
GAZP	16176058	2756758558,12	2023-10-24
SBER	41831046	11415387942,97	2023-10-25
YNDX	1014441	2775629227,20	2023-10-25
GAZP	18127855	3078463096,74	2023-10-25
SBER	59497897	16225581329,57	2023-10-26
YNDX	1758662	4777463420,40	2023-10-26
GAZP	21080974	3570818281,51	2023-10-26
SBER	49779757	13403088654,88	2023-10-27
YNDX	2313425	6217169884,20	2023-10-27
GAZP	21573961	3625087053,15	2023-10-27
SBER	33346080	9008721363,67	2023-10-30
YNDX	818174	2157615150,60	2023-10-30
GAZP	16443860	2752720008,51	2023-10-30
SBER	26210518	7029791889,43	2023-10-31
YNDX	1052727	2729824169,80	2023-10-31
GAZP	17254531	2890286558,80	2023-10-31
